age	poids
5	10.5
93	76.5
98	94.3
9	15
51	47.8
95	80.8
1	12.2
41	37.9
31	34.5
83	71.9
89	77.5
41	46.2
37	37.3
64	55.1
23	20.5
74	72.9
51	46.7
23	22.5
34	35.3
73	73.5
4	16.7
58	62
56	60.2
16	19.5
96	83.8
25	29.4
21	23.8
47	46.1
87	79.3
63	64.2
24	32
68	60.1
29	32.6
81	73.2
51	52
79	71.7
45	43.1
9	14.7
61	55.2
5	22
84	84.8
86	78.6
60	57.2
58	52.7
16	28.7
18	28.6
13	20.9
36	39.8
96	88.9
67	60.7
8	17.3
75	71.3
24	27.1
77	69.6
13	21.9
8	19
60	59.7
25	26.2
96	87.6
75	69.9
20	26.6
70	56.6
1	10
8	20.1
46	45.8
53	54.1
21	17.6
57	58.5
47	48.6
67	63.4
36	37.5
34	35.2
46	43.9
9	18.4
6	7
89	83.1
39	36.2
9	14.1
96	84
53	48.4
67	60.6
21	29.4
90	84.1
40	42.4
71	69.5
57	53.3
62	50.9
21	18.5
56	56.4
69	67.4
52	54.7
84	80.6
68	60.1
55	54
88	83
4	17.1
76	72.8
87	83.7
87	66.6
21	29.5
